Beer,beer/,,,,,,,,,,
Sake,sake/,,,,,,,,,,
Brandy,brandy/,,,,,,,,,,
Champagne & Sparkling Wines,champagne_and_sparkling_wine/,,,,,,,,,,
Gin,gin/,,,,,,,,,,
Liqueurs,liqueurs/,,,,,,,,,,
#Beer Drinks,,,,,,,,,,,
Tom Collins,tom_collins.txt,10028,10144,10192,10117,10248,10251,,,,
Venus,venus.txt,10028,10092,10192,10012,10260,,,,,
Vesper Martini,vesper_martini.txt,10028,10330,10356,10256,,,,,,
#Liqueurs,,,,,,,,,,,
Alabama Slammer,alabama_slammer.txt,10112,10031,10111,10144,10251,10248,,,,
Alfonso Special Cocktail,alfonso_special_cocktail.txt,10093,10028,10358,10360,10011,,,,,
Amaretto Alexander,amaretto_alexander.txt,10031,10052,10134,,,,,,,
Amaretto Sour,amaretto_sour.txt,10031,10144,10251,,,,,,,
Angel's Blush,angels_blush.txt,10082,10059,10044,10134,,,,,,
Angel's Kiss,angels_kiss.txt,10050,10059,10013,10134,,,,,,
Angel's Tit,angels_tit.txt,10052,10134,10251,,,,,,,
B-52,b52.txt,10055,10057,10093,,,,,,,
B&B,b_b.txt,10044,10014,,,,,,,,
Banshee,banshee.txt,10052,10073,10134,,,,,,,
Blue Angel,blue_angel.txt,10088,10013,10108,10134,10144,,,,,
Bocci Ball,bocci_ball.txt,10031,10150,10117,10256,,,,,,
Buttered Toffee,buttered_toffee.txt,10031,10058,10056,10134,,,,,,
Butterfinger,butterfinger.txt,10309,10058,10135,10182,,,,,,
Cafe Romano,cafe_romano.txt,10042,10055,10134,,,,,,,
Chocolate Almond,chocolate_almond.txt,10031,10058,10051,,,,,,,
Death by Chocolate,death_by_chocolate.txt,10058,10051,10330,10239,10204,,,,,
Dreamsicle,dreamsicle.txt,10031,10087,10337,10150,10134,,,,,
Duchess,duchess.txt,10041,10358,10360,,,,,,,
Fifth Avenue,fifth_avenue.txt,10050,10021,10134,,,,,,,
Fourth of July,fourth_of_july.txt,10185,10092,10088,,,,,,,
French Tricolor,french_tricolor.txt,10185,10082,10059,,,,,,,
Golden Cadillac,golden_cadillac.txt,10052,10104,10134,,,,,,,
Grasshopper,grasshopper.txt,10063,10052,10134,,,,,,,
Hairy Navel,hairy_navel.txt,10313,10330,10150,10256,10258,,,,,
Havana Rainbow,havana_rainbow.txt,10185,10037,10108,10063,10048,,,,,
Jersy Lilly,jersey_lily.txt,10047,10014,10011,,,,,,,
Liquid Cocaine 1,liquid_cocaine_1.txt,10287,10316,10105,10315,,,,,,
Liquid cocaine 2,liquid_cocaine_2.txt,10287,10315,10105,10311,,,,,,
Liquid Symphony,liquid_symphony.txt,10048,10063,10013,,,,,,,
Lollipop,lollipop.txt,10047,10092,10016,10082,,,,,,
London Fog,london_fog.txt,10031,10064,10011,10248,,,,,,
McClelland Cocktail,mcclelland_cocktail.txt,10111,10091,,,,,,,,
Melon Alexander,melon_alexander.txt,10083,10013,10134,,,,,,,
